"","Highest grade in school completed by child","Child has high school degree","Child enrolled in college","Child has college degree","Child's annual wage in 1993","Child's age in 1993","Child's gender 1 female 0 male","Child's race is black","Child's race is hispanic","Child's race is white","Child is born in USA","Child lived with both biological parents aged 0-18","Nr. years aged 0-18 child lived with 2 bio parents","Age child stopped living with 2 bio parents","Nr. years aged 0-18 child lived with bio mother","Nr. years aged 0-18 child lived with bio father","Child's number of siblings","Mother has less than high school degree","Mother has high school degree","Mother has more than high school degree","Mother's education in unknown","Father has less than high school degree","Father has high school degree","Father has more than high school degree","Father's education in unknown","Mother child when child was aged 0-18","Age child when mother died","Father child when child was aged 0-18","Age child when father died","Father has drinking problem","Mother has drinking problem","Age mother at birth of child","Age father at birth of child","Reason for change: parent died","Reason for change: parents divorced","Reason for change: Parent unable to care","Reason for change: Child left to get married","Reason for change: Child left to be on own","Reason for change: Parent was too ill","Reason for change: Court removed child","Reason for change: Child got in trouble","Reason for change: Child ran away","Reason for change: Child left for college","Reason for change: Child left for military","Reason for change: other","Reason for change: unknown","Region of residence is east","Region of residence is west","Region of residence is north","Region of residence is south","Region of residence is outside U.S.","Sampling weight"
"79",12,1,0,0,NA,35,0,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,1,NA,NA,NA,1,0,NA,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,337965
"80",12,1,0,0,12000,30,1,1,0,0,1,0,0,0,18,0,4,1,0,0,0,0,1,0,0,0,NA,0,NA,0,0,29,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,96286
"81",17,1,1,1,0,33,1,0,0,1,1,0,0,0,16,0,7,0,1,0,0,0,1,0,0,0,NA,0,NA,1,0,29,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,571936
"82",12,1,0,0,0,29,0,1,0,0,1,0,0,0,18,0,4,0,1,0,0,0,1,0,0,0,NA,0,NA,0,0,16,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,169550
"83",12,1,0,0,0,31,1,1,0,0,1,0,0,0,18,0,9,1,0,0,0,1,0,0,0,0,NA,0,NA,1,0,40,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,139807
"84",12,1,0,0,34000,34,0,0,0,1,1,0,0,18,18,0,5,1,0,0,0,NA,NA,NA,1,0,NA,1,1,0,0,27,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,690809
"85",12,1,0,0,0,32,0,1,0,0,1,0,0,0,18,0,3,0,1,0,0,0,1,0,0,0,NA,0,NA,0,0,23,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,80534
"86",12,1,0,0,9000,30,0,0,1,0,1,0,0,0,18,0,2,0,1,0,0,NA,NA,NA,1,0,NA,1,NA,0,0,36,44,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,108981
"87",9,0,0,0,0,31,0,0,0,1,1,0,0,0,18,0,7,1,0,0,0,1,0,0,0,0,NA,0,NA,0,0,27,44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,543876
"88",12,1,0,0,21000,33,1,1,0,0,1,0,0,0,18,0,1,1,0,0,0,NA,NA,NA,1,0,NA,0,NA,1,0,18,39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,216860
"89",13,1,1,0,18000,30,0,0,1,0,1,0,0,0,18,0,3,1,0,0,0,1,0,0,0,0,NA,0,NA,1,0,17,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,144954
"90",7,0,0,0,17000,29,1,0,0,1,1,0,0,0,16,0,2,1,0,0,0,1,0,0,0,0,NA,0,NA,1,0,23,43,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,561453
"91",12,0,0,0,300,33,1,1,0,0,1,0,0,0,18,0,5,1,0,0,0,NA,NA,NA,1,0,NA,0,NA,0,1,17,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,152280
"92",12,1,0,0,23500,28,0,1,0,0,1,0,0,0,18,0,5,1,0,0,0,NA,NA,NA,1,0,NA,1,7,0,0,23,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,225022
"93",12,1,0,0,17000,30,1,1,0,0,1,0,0,0,18,0,12,1,0,0,0,NA,NA,NA,1,0,NA,0,NA,0,0,43,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,101985
"94",11,1,0,0,0,32,1,0,1,0,1,0,0,0,18,0,5,1,0,0,0,NA,NA,NA,1,0,NA,0,NA,0,0,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,96610
"95",7,1,0,0,200,35,1,1,0,0,1,0,0,0,14,0,4,1,0,0,0,NA,NA,NA,1,0,NA,0,NA,0,0,18,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,131423
"96",12,1,0,0,21000,33,1,0,1,0,1,0,0,0,18,0,12,1,0,0,0,NA,NA,NA,1,0,NA,0,NA,0,0,18,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,105145
"97",9,0,0,0,0,29,1,0,0,1,1,0,0,0,15,0,1,1,0,0,0,1,0,0,0,0,NA,0,NA,0,0,30,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,487233
"98",13,1,1,0,6000,31,0,1,0,0,1,0,0,0,14,0,4,0,1,0,0,0,1,0,0,1,15,0,NA,0,0,14,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,206311
"99",12,1,0,0,7700,28,1,1,0,0,1,0,0,0,18,0,3,1,0,0,0,NA,NA,NA,1,0,NA,0,NA,0,0,16,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,211706
"100",12,1,0,0,0,28,0,1,0,0,1,0,0,0,18,0,3,0,1,0,0,0,1,0,0,0,NA,0,NA,0,0,24,35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,234250
"101",12,1,0,0,14000,31,1,0,0,1,1,0,0,0,18,0,3,0,1,0,0,NA,NA,NA,1,0,NA,0,NA,1,0,28,43,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,488755
"102",12,1,0,0,23000,30,1,1,0,0,1,0,0,0,18,0,7,1,0,0,0,NA,NA,NA,1,0,NA,0,NA,1,0,22,26,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,142694
